band,x,y,spatial_ref,admin_commune_2024_10m_b1,admin_quartiers_2024_10m_b1,air_temperature_2017_month_mean_10m_b12,dem_2019_10m_b1,dem_aspect_2019_10m_b1,dem_slope_2019_10m_b1,dem_surface_model_2019_10m_b1,flood_map_2021_10m_b1,hrl_treecover_2018_10m_b1,land_cover_2021_10m_b1,land_use_07_15_18_21_10m_b4,pH_CaCl_10m_b1,protected_areas_2023_10m_b1,public_forests_2024_10m_b1,shadow_2019_10m_b1,soil_map_25000_10m_main_classes_b1,soil_nitrat_10m_b1,twi_2019_10m_b1,Heracleum Mantegazzianum
1,76835.0,76985.0,0,35.0,9.0,289.72485,252.0,180.0,5.710593,255.1995,0.0,0.0,91.0,111.0,5.4605947,0.0,-3.4028235e+38,0.67980725,5.0,2.6212096,0.18498503,False
1,76835.0,74165.0,0,61.0,14.0,291.23868,256.0,90.0,2.8624053,260.70886,0.0,0.0,20.0,160.0,5.925163,0.0,-3.4028235e+38,0.64194703,5.0,2.0771947,0.40626213,False
1,76835.0,75565.0,0,75.0,26.0,288.58258,308.0,-9999.0,0.0,310.86847,0.0,67.0,91.0,133.0,5.3005843,0.0,-3.4028235e+38,0.7958515,5.0,2.3441844,0.45813867,False
1,76835.0,72485.0,0,61.0,11.0,290.80188,286.0,-9999.0,0.0,287.1435,0.0,0.0,20.0,612.0,5.9654536,0.0,-3.4028235e+38,0.10698574,8.0,1.8268435,0.20964408,False
1,76835.0,75695.0,0,75.0,26.0,289.87265,310.0,225.0,3.0357237,311.80334,0.0,0.0,20.0,111.0,5.317751,0.0,-3.4028235e+38,0.41434935,5.0,2.3476,0.20667905,False
1,76835.0,75085.0,0,75.0,26.0,290.68317,299.0,206.56505,3.1996014,298.5548,0.0,0.0,20.0,612.0,5.255408,0.0,-3.4028235e+38,0.18609376,5.0,2.1424546,0.23001786,False
1,76835.0,75445.0,0,75.0,26.0,289.3499,305.0,251.56505,2.263636,317.57687,0.0,62.0,70.0,133.0,5.2701225,0.0,-3.4028235e+38,0.6988579,5.0,2.3165426,0.1676029,False
1,76835.0,76005.0,0,75.0,27.0,289.81122,314.0,-9999.0,0.0,321.9751,0.0,0.0,10.0,111.0,5.360692,0.0,-3.4028235e+38,0.31506526,5.0,2.2788177,0.22278701,False
1,76835.0,74855.0,0,75.0,26.0,290.95145,290.0,149.03624,4.16874,313.82404,0.0,0.0,70.0,111.0,5.279461,0.0,-3.4028235e+38,0.47010463,5.0,1.933569,0.19375911,False
1,76835.0,76435.0,0,75.0,27.0,289.95212,327.0,206.56505,3.1996014,335.16397,0.0,0.0,10.0,111.0,5.4121766,0.0,-3.4028235e+38,0.46123716,5.0,2.4294393,0.1897032,False
